Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Image Src,Image Alt Text,Status
"somnara-dusk-twin-hybrid-mattress-1","Somnara Dusk Twin Hybrid Mattress","<p>The Dusk hybrid mattress is built for plush support in Twin. Pocketed coils with a memory-foam comfort stack, finished in oat linen.</p><ul><li>Material: Hybrid</li><li>Size: Twin</li><li>Plush · 13"" profile</li><li>Finish: Oat Linen</li></ul>","Somnara","Mattresses","mattresses, hybrid, twin, plush","TRUE","Size","Twin","SN-0001","20430","shopify","25","deny","manual","690.00","773.00","TRUE","TRUE","https://raw.githubusercontent.com/arcmonay/somnara/main/public/products/somnara-dusk-twin-hybrid-mattress-1.webp","Somnara Dusk Twin Hybrid Mattress","active"
"somnara-harbor-twin-xl-memory-foam-mattress-2","Somnara Harbor Twin XL Memory Foam Mattress","<p>The Harbor memory foam mattress is built for medium-plush support in Twin XL. High-density foam with a cooling quilt, finished in cloud percale.</p><ul><li>Material: Memory Foam</li><li>Size: Twin XL</li><li>Medium-plush · 13"" profile</li><li>Finish: Cloud Percale</li></ul>","Somnara","Mattresses","mattresses, memory-foam, twin-xl, medium-plush","TRUE","Size","Twin XL","SN-0002","20884","shopify","25","deny","manual","750.00","840.00","TRUE","TRUE","https://raw.githubusercontent.com/arcmonay/somnara/main/public/products/somnara-harbor-twin-xl-memory-foam-mattress-2.webp","Somnara Harbor Twin XL Memory Foam Mattress","active"
"somnara-loom-full-natural-latex-mattress-3","Somnara Loom Full Natural Latex Mattress","<p>The Loom natural latex mattress is built for medium support in Full. Talalay latex over a zoned support core, finished in graphite knit.</p><ul><li>Material: Natural Latex</li><li>Size: Full</li><li>Medium · 13"" profile</li><li>Finish: Graphite Knit</li></ul>","Somnara","Mattresses","mattresses, natural-latex, full, medium","TRUE","Size","Full","SN-0003","21338","shopify","25","deny","manual","800.00","896.00","TRUE","TRUE","https://raw.githubusercontent.com/arcmonay/somnara/main/public/products/somnara-loom-full-natural-latex-mattress-3.webp","Somnara Loom Full Natural Latex Mattress","active"
"somnara-vale-queen-innerspring-mattress-4","Somnara Vale Queen Innerspring Mattress","<p>The Vale innerspring mattress is built for medium-firm support in Queen. Offset coils with a cotton-wool pillow top, finished in ivory sateen.</p><ul><li>Material: Innerspring</li><li>Size: Queen</li><li>Medium-firm · 13"" profile</li><li>Finish: Ivory Sateen</li></ul>","Somnara","Mattresses","mattresses, innerspring, queen, medium-firm","TRUE","Size","Queen","SN-0004","21792","shopify","25","deny","manual","1230.00","1378.00","TRUE","TRUE","https://raw.githubusercontent.com/arcmonay/somnara/main/public/products/somnara-vale-queen-innerspring-mattress-4.webp","Somnara Vale Queen Innerspring Mattress","active"
"somnara-nest-king-euro-top-hybrid-mattress-5","Somnara Nest King Euro-Top Hybrid Mattress","<p>The Nest euro-top hybrid mattress is built for firm support in King. Euro-top hybrid with edge-to-edge coils, finished in moss tencel.</p><ul><li>Material: Euro-Top Hybrid</li><li>Size: King</li><li>Firm · 13"" profile</li><li>Finish: Moss Tencel</li></ul>","Somnara","Mattresses","mattresses, euro-top-hybrid, king, firm","TRUE","Size","King","SN-0005","22246","shopify","25","deny","manual","1700.00","1904.00","TRUE","TRUE","https://raw.githubusercontent.com/arcmonay/somnara/main/public/products/somnara-nest-king-euro-top-hybrid-mattress-5.webp","Somnara Nest King Euro-Top Hybrid Mattress","active"
"somnara-hollow-cal-king-hybrid-mattress-6","Somnara Hollow Cal King Hybrid Mattress","<p>The Hollow hybrid mattress is built for plush support in Cal King. Pocketed coils with a memory-foam comfort stack, finished in sand organic cotton.</p><ul><li>Material: Hybrid</li><li>Size: Cal King</li><li>Plush · 13"" profile</li><li>Finish: Sand Organic Cotton</li></ul>","Somnara","Mattresses","mattresses, hybrid, cal-king, plush","TRUE","Size","Cal King","SN-0006","22700","shopify","25","deny","manual","1810.00","2027.00","TRUE","TRUE","https://raw.githubusercontent.com/arcmonay/somnara/main/public/products/somnara-hollow-cal-king-hybrid-mattress-6.webp","Somnara Hollow Cal King Hybrid Mattress","active"
"somnara-sable-twin-memory-foam-mattress-7","Somnara Sable Twin Memory Foam Mattress","<p>The Sable memory foam mattress is built for medium-plush support in Twin. High-density foam with a cooling quilt, finished in oat linen.</p><ul><li>Material: Memory Foam</li><li>Size: Twin</li><li>Medium-plush · 13"" profile</li><li>Finish: Oat Linen</li></ul>","Somnara","Mattresses","mattresses, memory-foam, twin, medium-plush","TRUE","Size","Twin","SN-0007","23154","shopify","25","deny","manual","1020.00","1142.00","TRUE","TRUE","https://raw.githubusercontent.com/arcmonay/somnara/main/public/products/somnara-sable-twin-memory-foam-mattress-7.webp","Somnara Sable Twin Memory Foam Mattress","active"
"somnara-drift-twin-xl-natural-latex-mattress-8","Somnara Drift Twin XL Natural Latex Mattress","<p>The Drift natural latex mattress is built for medium support in Twin XL. Talalay latex over a zoned support core, finished in cloud percale.</p><ul><li>Material: Natural Latex</li><li>Size: Twin XL</li><li>Medium · 13"" profile</li><li>Finish: Cloud Percale</li></ul>","Somnara","Mattresses","mattresses, natural-latex, twin-xl, medium","TRUE","Size","Twin XL","SN-0008","23608","shopify","25","deny","manual","690.00","773.00","TRUE","TRUE","https://raw.githubusercontent.com/arcmonay/somnara/main/public/products/somnara-drift-twin-xl-natural-latex-mattress-8.webp","Somnara Drift Twin XL Natural Latex Mattress","active"
"somnara-quill-full-innerspring-mattress-9","Somnara Quill Full Innerspring Mattress","<p>The Quill innerspring mattress is built for medium-firm support in Full. Offset coils with a cotton-wool pillow top, finished in graphite knit.</p><ul><li>Material: Innerspring</li><li>Size: Full</li><li>Medium-firm · 13"" profile</li><li>Finish: Graphite Knit</li></ul>","Somnara","Mattresses","mattresses, innerspring, full, medium-firm","TRUE","Size","Full","SN-0009","24062","shopify","25","deny","manual","750.00","840.00","TRUE","TRUE","https://raw.githubusercontent.com/arcmonay/somnara/main/public/products/somnara-quill-full-innerspring-mattress-9.webp","Somnara Quill Full Innerspring Mattress","active"
"somnara-marrow-queen-euro-top-hybrid-mattress-10","Somnara Marrow Queen Euro-Top Hybrid Mattress","<p>The Marrow euro-top hybrid mattress is built for firm support in Queen. Euro-top hybrid with edge-to-edge coils, finished in ivory sateen.</p><ul><li>Material: Euro-Top Hybrid</li><li>Size: Queen</li><li>Firm · 13"" profile</li><li>Finish: Ivory Sateen</li></ul>","Somnara","Mattresses","mattresses, euro-top-hybrid, queen, firm","TRUE","Size","Queen","SN-0010","24516","shopify","25","deny","manual","1150.00","1288.00","TRUE","TRUE","https://raw.githubusercontent.com/arcmonay/somnara/main/public/products/somnara-marrow-queen-euro-top-hybrid-mattress-10.webp","Somnara Marrow Queen Euro-Top Hybrid Mattress","active"
